Name,Age,Hometown,Job,Eliminated,season,"Skin (0=white, 1= Black)",Bachelor Age
Lindsey Hawkins,25,"Livonia, Michigan",Model,3,11,0,35
Sarah Newlon,23,"O'Fallon, Illinois",Bar manager,3,11,0,35
Solisa Shoop[9],25,"Georgetown, Texas",Esthetician,3,11,0,35
Erin Gardner,25,"Tampa, Florida",Publishing sales executive,2,11,0,35
Mallory Simons,24,"Honolulu, Hawaii",Nanny,2,11,0,35
Michele Leavy[10],30,"South Brunswick, New Jersey",Realtor,2,11,0,35
Jessica Kiss,27,"Lady Lake, Florida",News anchor,1,11,0,35
"Julia ""Juli"" Gilliam",24,"Chicago, Illinois",Law student,1,11,0,35
"Kimberly ""Kim"" Orville",31,"Woodbridge, Connecticut",Realtor,1,11,0,35
Lori Langley[11],33,"Annapolis, Maryland",Biology teacher,1,11,0,35
Melissa Buschel[12],28,"Westchester, New York",Event planner,1,11,0,35
Morgan Becker,24,"Tempe, Arizona",Graduate student,1,11,0,35
Natalie Velasco,25,"Duncanville, Texas",Law student,1,11,0,35
Regina Doringa,31,"San Diego, California",Account representative,1,11,1,35
Tauni Nessler [11],31,"St. Louis Park, Minnesota",Emergency room nurse,1,11,0,35
Susan Coolidge,35,"St. Charles, Illinois",Project analyst,1,11,0,35
*Shayne Lamas*[2],22,"*Malibu, California*",*Actress*,11,12,0,36
Chelsea Wanstrath[2],25,"Durango, Colorado",Pharmaceutical sales rep.,10,12,0,36
Amanda Rantuccio[2],27,"Niceville, Florida",Account Executive,7,12,0,36
Noelle Drake[3],26,"Loveland, Colorado",Photographer,6,12,0,36
Marshana Ritchie[4],27,"Brooklyn, New York",Fashion designer,5,12,1,36
Robin Canfield[4],22,"Holland, Michigan",Advertising coordinator,5,12,0,36
Ashlee Williss[5],22,"Jacksonville Beach, Florida",Singer-songwriter,4,12,0,36
Kelly Hark,25,"Hollywood, California",Medical sales representative,4,12,0,36
Holly Durst[6][7],24,"Suffield, Ohio",Children's book author,4,12,0,36
Amy Bean,22,"Stockton, California",Nanny,3,12,0,36
Erin Storm,33,"San Marcos, California",Vendor,3,12,0,36
Kristine Heffelfinger[8],33,"Dillsburg, Pennsylvania",Personal trainer,3,12,0,36
"Caroline ""Carri"" Perrier[9][10]",25,"Oklahoma City, Oklahoma",Church marketing rep.,2,12,0,36
Erin Harper[11][12],25,"Seattle, Washington",Event planner,2,12,0,36
Michelle Procopio,28,"Syracuse, New York",Administrative assistant,2,12,0,36
Alyssa Gill,24,"Boise, Idaho",Biology student,1,12,0,36
Amanda Petterman[13],26,"Cape Girardeau, Missouri",Law student,1,12,0,36
Denise Hawthorne,30,"Washington, D.C.",Attorney and former White House aide,1,12,0,36
Devon Antin,24,"Austin, Texas",Make-up artist,1,12,0,36
Lesley Geyer[14],23,"Tampa, Florida",Youth minister,1,12,0,36
Michele Romero,33,"Laguna Niguel, California",Interior designer,1,12,0,36
Rebecca LeBlanc,30,"Alamo, California",Attorney,1,12,0,36
Stacey Elza[15],26,"Chicago, Illinois",Graduate student,1,12,0,36
Tamara Sketz,23,"Beverly Hills, California",Cocktail waitress,1,12,0,36
Tiffany Thornburg,33,"San Francisco, California",Real estate marketing rep.,1,12,0,36
*Melissa Rycroft*[6],25,"*Dallas, Texas*",*Sales Representative*,11,13,0,32
Molly Malaney[7],24,"Grand Rapids, Michigan",Department Store Buyer,10,13,0,32
Jillian Harris,29,"Peace River, Alberta",Interior Designer,7,13,0,32
Naomi Crespo[8],24,"Carlsbad, California",Flight Attendant,6,13,0,32
Stephanie Hogan[9],34,"Huntsville, Alabama",Medical Marketing Representative,5,13,0,32
Lauren Wanger,27,"Marlboro, New Jersey",Teacher,4,13,0,32
Megan Parris[10],25,"Sewickley, Pennsylvania",Lacrosse Coach,4,13,0,32
Shannon Bair[11],29,"Marshall, Missouri",Dental Hygienist,4,13,0,32
Nikki Kaapke[12],29,"Blue Island, Illinois",Administrative Assistant,4,13,0,32
Erica DeSimone,25,"Monroe, Connecticut",Account Executive,3,13,0,32
Kari Fajen[13],27,"Lee's Summit, Missouri",Account Executive,3,13,0,32
Natalie Getz[14],27,"Morton, Illinois",Human Resources Recruiter,3,13,0,32
Raquel Medeiros[15],27,"Recife, Pernambuco, Brazil",Medical Student,2,13,0,32
Sharon Staebell[16],32,"Batavia, New York",Teacher,2,13,0,32
Lisa Gonzalez[17],28,"Boise, Idaho",Public Relations Associate,2,13,0,32
